Product;Price
MSI Radeon RX 7900 XT Gaming Trio Classic 20GB GDDR6;1312.8
Asus AMD Radeon RX 6600 DUAL 8GB GDDR6;376.82
PNY GeForce RTX 4060 Ti XLR8 Gaming VERTO 16GB GDDR6 DLSS3;567.74
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4GB GDDR6;299.99
Asrock AMD Radeon RX 7900 XT Phantom Gaming OC Edition 20GB GDDR6;966.57
Zotac Gaming GeForce RTX 3070 Ti AMP Holo LHR 8GB GDDR6X;1351.24
EVGA GeForce RTX 3090 XC3 ULTRA GAMING 24GB GDDR6X;983.25
HP RTX A4000 16 GB GDDR6;1330.74
MSI GeForce RTX 3070 VENTUS 3X PLUS OC LHR 8 GB GDDR6;810.28
MSI GeForce RTX 3070 VENTUS 3X OC 8GB GDDR6;554.6
Asus TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X;1767.15
Acer Predator BiFrost Intel ARC A770 OC 16GB GDDR6;531.38
Gigabyte GeForce GTX 1660 Ti OC 6GB;511.01
Zotac Gaming GeForce RTX 3070 Ti Trinity OC LHR 8GB GDDR6X;1111.73
ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6;273.99
Zotac Gaming GeForce RTX 4070 Twin Edge 12GB GDDR6X DLSS3;679.0
MSI GeForce RTX 3070 Ti SUPRIM X 8GB GDDR6X;1039.9
ASUS GeForce RTX 2060 Dual OC EVO Edition 6GB GDDR6;506.02
Asus Dual GeForce RTX 3060 OC Edition V2 12GB GDDR6;321.99
ASUS TUF Gaming Radeon RX 7700 XT OC Edition 12GB GDDR6;623.98
Zotac Gaming GeForce RTX 4080 AMP EXTREME AIRO 16GB GDDR6X DLSS3;1653.11
PNY GeForce RTX 3060 VERTO Dual Fan LHR 12GB GDDR6;506.13
Asus Dual GeForce RTX 2060 EVO 6GB GDDR6;474.27
PowerColor Fighter AMD Radeon RX 6500XT 4GB GDDR6;224.53
MSI GeForce GTX 1650 D6 VENTUS XS OCV1 4GB GDDR6;232.9
Gigabyte Radeon RX 6900 XT GAMING OC 16GB GDDR6;1591.12
Gigabyte AORUS Radeon RX 6900 XT MASTER 16GB GDDR6;1710.72
MSI AMD Radeon RX 6900 XT GAMING X TRIO 16GB GDDR6;1762.2
HP Nvidia Quadro T400 2GB GDDR6;289.03
Gainward GeForce RTX 3060 Ghost 12GB GDDR6;383.29
Asus TUF Gaming GeForce GTX 1650 4 GB GDDR6;243.47
Gigabyte AMD Radeon RX 7800 XT GAMING OC 16GB GDDR6;619.14
Zotac Gaming GeForce RTX 3050 Twin Edge OC LHR 8GB GDDR6;365.0
MSI GeForce RTX 4070 Ti SUPRIM X 12GB GDDR6X DLSS3;1234.91
EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6;386.47
Asus TUF Gaming GeForce GTX 1650 4GB GDDR6;243.47
PowerColor AMD Radeon RX 6800 Fighter 16GB GDDR6;436.9
ASUS ProArt GeForce RTX 4070 Ti OC 12GB GDDR6X DLSS3;1054.74
MSI GeForce RTX 3080 Ti VENTUS 3X 12GB GDDR6X;742.55
Zotac Gaming GeForce RTX 3060 Twin Edge LHR 12GB GDDR6;319.98
Asus GeForce GTX 1650 Dual 4GB GDDR5;226.77
Zotac Gaming GeForce RTX 4070 Trinity 12GB GDDR6X DLSS3;970.85
PowerColor AMD Radeon RX 6800 Red Dragon 16GB GDDR6;570.05
PNY Nvidia Quadro RTX 4000 8GB GDDR6 DLSS3;1078.08
Lenovo NVIDIA T1000 4 GB GDDR6;614.66
PowerColor Red Devil AMD Radeon RX 7900 XTX 24GB GDDR6;1412.54
Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 Rev 2;328.99
PNY Nvidia Quadro RTX A6000 48GB GDDR6;7433.34
Gigabyte Radeon RX 6600 XT GAMING OC PRO 8GB GDDR6;687.03
Inno3D GeForce RTX 3080 iChill X4 LHR 10GB GDDR6X;617.0
Gigabyte GeForce RTX 3090 EAGLE 24GB GDDR6X;1058.95
Inno3D iChill X4 GeForce RTX 3080Ti 12GB GDDR6X;1117.99
Asus Phoenix Radeon RX 550 4GB GDDR5;107.99
PNY GeForce RTX 4080 XLR8 Gaming VERTO EPIC-X RGB Triple Fan 16GB GDDR6X DLSS3;1629.9
Asus TUF GAMING Radeon RX 6800 OC 16GB GDDR6;760.14
Gigabyte GeForce RTX 4060 AERO OC 8GB GDDR6 DLSS3;486.13
XFX SPEEDSTER MERC319  AMD Radeon RX 6800 XT CORE 16GB GDDR6;516.65
ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition LHR 8GB GDDR6;734.67
Gigabyte GeForce RTX 4070 Ti WINDFORCE OC 12GB GDDR6X;969.0
Asus GeForce GTX 1660 SUPER OC Dual 6GB GDDR6;562.45
ASUS TUF Gaming GeForce GTX 1650 V2 OC Edition 4GB GDDR6;224.9
MSI GeForce RTX 3050 VENTUS 2X XS OC 8GB GDDR6;239.99
MSI AMD Radeon RX 7600 MECH 2X CLASSIC OC 8GB GDDR6;360.99
Sapphire NITRO+ AMD Radeon RX 7800 XT GAMING 16GB GDDR6;659.9
Zotac Gaming Geforce RTX 3060 Twin Edge 8GB GDDR6;411.87
PNY GeForce RTX 4060 XLR8 Gaming VERTO EPIC-X RGB OC Triple Fan 8GB GDDR6 DLSS3;402.43
PNY QUADRO T1000 4GB GDDR6 Low Profile;408.35
Inno3D GeForce RTX 3080 Ti iChill X3 12GB GDDR6X;1735.99
PNY Nvidia Tesla P40 24GB GDDR5;10029.38
Asus ROG Strix GeForce RTX 3090 Gaming OC 24GB GDDR6X;2233.63
PowerColor Fighter AMD Radeon RX 6650 XT 8GB GDDR6;321.48
MSI GeForce RTX 3070 SUPRIM LHR 8GB GDDR6;490.85
MSI AMD Radeon RX 6500 XT MECH 2X OC 4GB GDDR6;278.75
Zotac Gaming GeForce RTX 4070 Ti AMP AIRO Spider-Man Cruzando el Multiverso Bundle 12 GB GDDR6X DLSS3;996.24
Asus TUF GeForce RTX 3080 OC 10GB GDDR6X;905.5
MSI GeForce RTX 3080 VENTUS 3X PLUS OC LHR 10GB GDDR6X;989.9
MSI GeForce RTX 4090 GAMING X SLIM 24GB GDDR6X DLSS3;2286.69
Gigabyte GeForce RTX 4060 Ti AERO OC 8GB GDDR6 DLSS3;489.9
MSI GeForce RTX 3070 GAMING Z TRIO LHR 8GB GDDR6;819.9
Inno3D GeForce RTX 4090 ICHILL X3 24GB GDDR6X DLSS3;2453.21
Gigabyte GeForce RTX 3060 Ti GAMING OC PRO 8 GB GDDR6 Rev 3.0;701.4
MSI AMD Radeon RX 6600 MECH 2X 8GB GDDR6;299.9
Gigabyte RTX 3090 Vision OC 24GB GDDR6X;1734.2
Asus GeForce GT 730 2GB GDDR5;102.51
MSI GeForce RTX 4070 Ti GAMING X SLIM White Edition 12GB GDDR6 DLSS3;969.0
PNY GeForce RTX 4070 Ti Verto LED Triple Fan 12GB GDDR6X DLSS3;950.15
PNY GeForce RTX 4060 Ti VERTO OC Dual Fan 16GB GDDR6 DLSS3;565.46
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 12GB GDDR6X;971.45
ASUS ROG Strix GeForce RTX 4070 Ti OC 12GB GDDR6X DLSS3;1242.71
Inno3D iCHILL X3 GeForce RTX 4060 Ti 8GB GDDR6 DLSS 3;509.04
MSI GeForce RTX 3070 SUPRIM X LHR 8GB GDDR6;844.9
PowerColor Red Devil AMD Radeon RX 6700 XT 12GB GDDR6;479.6
Zotac GAMING GeForce RTX 3070 AMP Holo LHR 8 GB GDDR6;501.35
Zotac Gaming GeForce RTX 3060 Ti AMP White Edition LHR 8GB GDDR6;907.48
Inno3D GeForce RTX 4070 TWIN X2 12GB GDDR6X DLSS3;682.65
Gigabyte GeForce RTX 4070 Ti AERO OC V2 12GB GDDR6X DLSS3;1040.35
Gigabyte GeForce RTX 3050 WINDFORCE OC 8GB GDDR6;249.99
Gigabyte GeForce RTX 4060 Ti AERO OC 16GB GDDR6 DLSS3;538.99
ASUS Dual GeForce GTX 1650 V2 OC Edition 4GB GDDR6;193.4
EVGA GeForce RTX 3070 Ti XC3 ULTRA GAMING LHR 8GB GDDR6X;961.92
MSI GeForce RTX 4090 GAMING X TRIO 24GB GDDR6X DLSS3;2299.0
Sapphire Pulse AMD Radeon RX 6500XT GAMING OC 4GB GDDR6;254.45
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK OC 16GB GDDR6 DLSS3;509.0
ASUS TUF Gaming GeForce RTX 4060 Ti OC Edition 8GB GDDR6 DLSS3;559.9
ASUS Dual GeForce GTX 1650 OC Edition EVO 4GB GDDR6;180.58
PowerColor Red Devil AMD Radeon RX 6650XT 8GB GDDR6;340.14
Zotac GAMING GeForce RTX 3070 Ti AMP Extreme Holo LHR  8 GB GDDR6X;831.95
Palit GeForce RTX 3060 Ti Dual 8GB GDDR6;1135.22
AsRock AMD Radeon RX 6700 XT Challenger Pro OC 12GB GDDR6;519.55
MSI GeForce RTX 3060 Ti GAMING X TRIO 8GD6X 8GB GDDR6X;738.98
Inno3D GeForce RTX 4070 Ti X3 12GB GDDR6X DLSS3;933.81
MSI GeForce RTX 3060 GAMING Z TRIO 12GB GDDR6;582.89
Biostar GeForce 210 1GB DDR3 Low Profile;40.93
EVGA GeForce RTX 3060 XC GAMING 12GB GDDR6;643.57
Gigabyte AORUS GeForce RTX 3090 XTREME WATERFORCE WB 24GB GDDR6X;1081.05
Gigabyte Radeon RX 6800 GAMING OC 16GB GDDR6;1072.0
Gigabyte AORUS GeForce RTX 3070 MASTER 8GB GDDR6 Rev 2.0;992.63
Gigabyte GeForce RTX 3070 EAGLE OC LHR 8GB GDDR6 REV 2.0;715.63
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING LHR 8GB GDDR6;482.85
Asus TUF GeForce RTX 3090 Gaming 24GB GDDR6X;2156.96
PNY GeForce RTX 4060 Ti VERTO Dual Fan 8GB GDDR6 DLSS3;470.64
ASUS TUF Gaming GeForce RTX 4080 16GB GDDR6X DLSS3;1739.2
Sapphire NITRO+ AMD Radeon RX 7700 XT GAMING 12GB GDDR6;588.49
ASUS GeForce GT 710 2GB GDDR3 EVO Low Profile;56.99
MSI GeForce GTX 1650 D6 VENTUS XS OC 4GB GDDR6;271.24
Gigabyte GeForce RTX 3060 Gaming OC 8GB GDDR6 Rev. 2.0;324.23
MSI RX 6600 XT MECH 2X OCV1 8GB GDDR6;353.92
ASUS Dual GeForce RTX 3050 OC Edition 8GB GDDR6;389.81
Zotac Gaming GeForce RTX 3090 ArcticStorm LHR 24GB GDDR6X;1514.0
ASUS Dual RTX 4060 V2 OC Edition 8GB GDDR6 DLSS3;375.52
Palit GeForce RTX 4070 Ti GamingPro White OC 12GB GDDR6X DLSS3;1140.94
MSI GeForce RTX 4070 VENTUS 2X WHITE OC 12GB GDDR6 DLSS3;763.59
ASUS ProArt GeForce RTX 4060 Ti OC Edition 16 GB GDDR6 DLSS3;626.15
Zotac GeForce RTX 4060 Ti Twin Edge OC 8GB GDDR6 DLSS3;489.84
Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB GDDR6;459.9
Gigabyte GeForce RTX 3080 GAMING OC 12GB GDDR6;1354.35
Lenovo A2000 Nvidia RTX A2000 6GB GDDR6 con Bracket de HP;786.29
MSI GeForce GTX 1650 D6 AERO ITX OC 4GB GDDR6;243.57
PNY Nvidia RTX A4000 16GB GDDR6;1265.23
Asus Phoenix Radeon RX 550 2GB GDDR5;108.57
Asus TUF Gaming GeForce GTX 1650 OC Edition 4GB GDDR6;247.64
PowerColor Hellhound Spectral White RX 7900 XTX 24GB GDDR6;1245.67
XFX Speedster QICK 319 Radeon RX 7700 XT Black Edition 12GB GDDR6;676.7
EVGA GeForce RTX 3080 FTW3 ULTRA HYBRID GAMING 10GB GDDR6X;1068.05
Asus TUF Gaming GeForce RTX 3070 OC 8GB GDDR6;612.2
MSI GeForce GTX 1650 D6 AERO ITX V1 4GB GDDR6;197.3
MSI GeForce RTX 3080 Ti SUPRIM X 12GB GDDR6X;1834.9
Zotac Gaming GeForce RTX 3060 Twin Edge OC LHR 12GB GDDR6;424.0
Asrock AMD Radeon RX 6800 XT Phantom Gaming OC 16GB GDDR6;721.58
Sapphire PURE AMD Radeon RX 7700 XT GAMING OC 12GB GDDR6;579.6
Zotac GeForce RTX 3090 AMP Extreme Holo LHR 24GB GDDR6X;2386.72
MSI GeForce RTX 4070 Ti VENTUS 3X E1 OC 12GB GDDR6X DLSS3;959.0
Asus Phoenix GeForce GTX 1650 OC 4GB GDDR6;255.24
EVGA GeForce RTX 3080 Ti XC3 ULTRA 12GB GDDR6X;846.9
Asus Dual Radeon RX 6700 XT OC Edition 12GB GDDR6;1247.49
Inno3D Twin X2 GeForce RTX 4060 8GB GDDR6 DLSS3;344.53
ASUS TUF Gaming GeForce RTX 4070 OC Edition 12GB GDDR6X DLSS3;799.89
PNY GeForce RTX 3080 XLR8 Gaming REVEL EPIC-X RGB Triple Fan LHR 10GB GDDR6X;1797.18
ASUS GeForce GT 730 2GB GDDR5 Low Profile;75.0
Gigabyte AORUS Radeon RX 6800 MASTER 16GB GDDR6;1396.21
Asus GeForce GT 710 2 GB GDDR5;114.11
AsRock AMD Radeon RX 6800 XT Phantom Gaming D OC 16GB GDDR6;517.95
PNY GeForce RTX 4060 Ti XLR8 Gaming VERTO OC Triple Fan Edition 16GB GDDR6 DLSS3;588.13
PNY GeForce GTX 1650 Dual Fan 4 GB GDDR6;178.87
Zotac Gaming GeForce RTX 4060 Ti Twin Edge 8GB GDDR6 DLSS3;584.95
AsRock AMD Radeon RX 6800 PHANTOM GAMING D OC 16GB GDDR6;634.5
MSI GeForce RTX 2060 VENTUS GP OC 6GB GDDR6;561.82
Zotac Gaming GeForce RTX 3090 Trinity OC LHR 24GB GDDR6X;1459.0
ASUS ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X DLSS3;1270.91
Palit GeForce RTX 4060 StormX 8GB GDDR6 DLSS 3;345.37
Inno3D GeForce RTX 3070 Ti X3 OC Dual Slot 8GB GDDR6X;850.42
MSI GeForce RTX 4060 Ti VENTUS 2X BLACK OC 8GB GDDR6 DLSS3;445.99
Zotac Gaming GeForce GTX 1630 4GB GDDR6;200.52
Gigabyte GeForce RTX 4060 Ti WINDFORCE OC 8GB GDDR6 DLSS3;438.0
PNY Nvidia Quadro P1000 V2 4GB GDDR5;354.22
AMD Radeon Pro W6400 4GB GDDR6;300.22
MSI GeForce GTX 1660 SUPER Ventus XS OC 6GB GDDR6;370.99
Gigabyte GeForce RTX 4060 EAGLE OC 8GB GDDR6 DLSS3;359.9
AsRock Steel Legend AMD Radeon RX 7700 XT OC 12GB GDDR6;555.94
Sapphire NITRO+ AMD Radeon RX 6950XT Pure Gaming 16GB GDDR6;1744.95
Biostar Radeon RX 550 Gaming 4GB GDDR5;198.21
MSI AMD Radeon RX 6650 XT GAMING X 8GB GDDR6;747.07
Gigabyte AORUS GeForce RTX 3080 Ti XTREME WATERFORCE WB 12GB GDDR6;924.85
Sapphire Pulse Radeon RX 6700 XT GAMING OC 12GB GDDR6;470.4
ASUS TUF Gaming AMD Radeon RX 6500 XT OC Edition 4GB GDDR6;326.94
Zotac Gaming GeForce GTX 1650 AMP Core 4GB GDDR6;169.9
MSI GeForce RTX 4060 GAMING X 8GB GDDR6 DLSS3;399.75
MSI GeForce RTX 4090 SUPRIM X 24GB GDDR6X DLSS3;2449.0
ASUS TUF Gaming GeForce RTX 4070 Ti OC Edition 12GB GDDR6X DLSS3;1019.0
Gigabyte GeForce RTX 2060 WINDFORCE OC 12GB GDDR6;533.37
PowerColor Hellhound AMD Radeon RX 7600 8GB GDDR6;365.16
PNY GeForce RTX 3050 XLR8 Gaming REVEL EPIC-X RGB Dual Fan Edition 8GB GDDR6;713.74
Asus GeForce GT 1030 OC 2GB GDDR5;114.57
Zotac GAMING GeForce RTX 3090 Trinity LHR 24GB GDDR6X;1391.0
EVGA GeForce RTX 3060 Ti XC GAMING LHR 8GB GDDR6;751.7
Gigabyte AORUS GeForce RTX 3080 Xtreme WaterForce V2 10GB GDDR6X;1315.24
Gigabyte GeForce RTX 4070Ti Aero OC 12GB GDDR6X DLSS3;1203.37
MSI GeForce GTX 1650 D6 VENTUS XS OCV3 4GB GDDR6;166.99
Asrock Radeon RX 7800 XT Phantom Gaming OC 16GB GDDR6;629.61
PowerColor AMD Radeon RX 6800XT Red Dragon 16GB GDDR6;689.07
Inno3D iCHILL X3 WHITE Edition GeForce RTX 4060 Ti 8GB GDDR6 DLSS3;523.72
Sapphire AMD Radeon RX 6700 10GB GDDR6;248.75
MSI AMD Radeon RX 6600 XT MECH 2X OC 8GB GDDR6;504.9
PNY GeForce RTX 3060 XLR8 Gaming REVEL EPIC-X RGB Edition 12GB GDDR6;536.39
Zotac Gaming GeForce RTX 3090 TI AMP Extreme HOLO LHR 24GB GDDR6X;1569.0
MSI GeForce RTX 3070 GAMING Z TRIO 8GB GDDR6;476.5
PowerColor Fighter AMD Radeon RX 6700XT 12GB GDDR6;376.99
MSI GeForce RTX 3080 SEA HAWK X LHR 10GB GDDR6;1002.38
XFX Speedster SWFT 319 AMD Radeon RX 6800 16GB GDDR6;682.79
MSI GeForce RTX 4070 Ti VENTUS 3X E 12GB GDDR6X DLSS 3;983.81
PowerColor FIGHTER AMD Radeon RX 6600 8GB GDDR6;276.99
MSI GeForce RTX 4080 GAMING X TRIO 16GB GDDR6X DLSS3;1714.15
Gigabyte GeForce RTX 4060 Ti EAGLE 8GB GDDR6 DLSS3;485.41
ASUS Dual Radeon RX 6400 4GB GDDR6;232.34
MSI GeForce GT 730 2GB DDR3 Low Profile;76.45
HP NVIDIA Quadro T1000 4GB GDDR6;477.91
Gainward GeForce RTX 4090 Phantom 24GB GDDR6X DLSS3;2612.99
Powercolor Fighter AMD Radeon RX 6600XT 8GB GDDR6;672.59
Biostar VN6103THX6 GeForce GT610 2GB DDR3;55.99
Sapphire NITRO+ AMD RADEON RX 6600 XT GAMING OC 8GB GDDR6;294.95
PNY GeForce RTX 3080 Ti XLR8 Gaming REVEL Edition 12GB GDDR6X;2060.83
Inno3D Twin X2 GeForce RTX 4060 Ti 8GB GDDR6 DLSS3;461.59
Gigabyte GeForce RTX 4080 EAGLE OC 16GB GDDR6X DLSS3;1368.99
